// Übersicht über die Beispielprogramme des Buchs "Java 8 – Die Neuerungen"				
				
// In der nachfolgenden Tabelle sind die ausführbaren Programme aufgelistet. Zum Teil ist im Buch kein Programmname angegeben. 
// Daher findet Sie hinten einen Verweis auf die Seitennummer.				
// 										
// Kapitel	Seite	Programmname	Package	Kommentar
				
2	3	SortAndPrinPreJDK8Example	chapter2_lambdas	                      Beispielprogramm zur Demonstration, dass die Sortierung nach Länge und kommaseparierte Aufbereitung vor JDK 8 recht viele Anweisungen benötigt.
2.1.5	10-11	LambdaVsInnerClassExample	chapter2_lambdas.lambdas	      Beispielprogramm zur Demonstration der Unterschiede zwischen Lambdas und inneren Klassen beim Zugriff auf Variablen usw.
2.2.1	14	DefaultMethodAndLambdaExample	chapter2_lambdas.defaultmethods	  Beispielprogramm, das die neuen Defaultmethoden sort() und forEach() für Collections und deren Zusammenspiel mit Lambdas zeigt.
2.3	20	FirstMethodReferenceExample	chapter2_lambdas.methodreferences	      Beispielprogramm, das die bessere Lesbarkeit durch Methodenreferenzen statt Lambdas zeigt.
2.3	21	MethodReferenceExample	chapter2_lambdas.methodreferences	          Beispielprogramm, das die bessere Lesbarkeit durch Methodenreferenzen statt Lambdas zeigt und verdeutlicht, dass Lambdas nicht direkt in eine Methodenreferenz gewandelt werden können, falls neben dem Metodenaufruf noch eine weitere Aktion erfolgt, hier die Addition eines ",".
2.3	21	MethodReferenceExample2	chapter2_lambdas.methodreferences	          Beispielprogramm, das die bessere Lesbarkeit durch Methodenreferenzen statt Lambdas zeigt und verdeutlicht, dass Lambdas immer durch eine Methodenreferenz auf eine eigen Methode ersetzt werden können.

// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------				

3.1.1	32	ExternalIterationExample	chapter3_streams.external_internal_iteration	Beispielprogramm zur Demonstration der externen Iteration auf 3 verschiedene Arten.
3.1.2	32	InternalIterationExample	chapter3_streams.external_internal_iteration	Beispielprogramm zur Demonstration der internen Iteration auf 3 verschiedene Arten.
3.2.1	36	FirstPredicatesExample	chapter3_streams.collections	                    Beispielprogramm zur Demonstration der Formulierung einfacher Bedingungen mit Prädikaten.
